Gun,Begeni,Cevaplar,Retweet,Tweets_Skoru,Toplam_Tweet_Duygu,Negatif,Pozitif,Toplam_Tweet
9,65,1,11,-0.43810969591140747,-1.0,6.0,5.0,11.0
10,57,1,15,-6.619929313659668,-6.0,23.0,17.0,40.0
11,788,94,269,21.569260120391846,33.0,157.0,190.0,347.0
12,18511,981,6365,-1080.672738134861,-1114.0,1468.0,354.0,1822.0
13,23528,972,7518,-1050.7381613850594,-1099.0,1470.0,371.0,1841.0
14,16048,1449,6309,-943.5562025904657,-999.0,1360.0,361.0,1721.0
15,22751,1167,9704,-1000.9495826363564,-1043.0,1450.0,407.0,1857.0
16,17502,917,7206,-1089.0646275877953,-1134.0,1505.0,371.0,1876.0
17,60134,1209,8108,-1018.2241432070732,-1076.0,1440.0,364.0,1804.0
18,27098,1017,7962,-996.583901822567,-1043.0,1442.0,399.0,1841.0
19,11426,665,3542,-741.6978107690811,-765.0,1040.0,275.0,1315.0
20,17290,804,4659,-675.6771159172057,-703.0,1004.0,301.0,1305.0
21,16539,1559,4974,-759.1381709575653,-781.0,1035.0,254.0,1289.0
22,26031,1104,6919,-906.3073573708534,-955.0,1325.0,370.0,1695.0
23,47437,1686,9015,-1253.4797601103785,-1310.0,1649.0,339.0,1988.0
24,39848,3063,8241,-1112.5291802287102,-1158.0,1478.0,320.0,1798.0
25,36424,1532,7390,-753.5211327075958,-779.0,1121.0,342.0,1463.0
26,24486,1518,5518,-843.1841822862625,-875.0,1230.0,355.0,1585.0
27,26041,1506,5475,-894.5984390974045,-927.0,1234.0,307.0,1541.0
28,17303,987,3707,-888.5922516584396,-926.0,1252.0,326.0,1578.0
29,393,47,74,-72.12500089406967,-73.0,97.0,24.0,121.0
