tarih,toplamTest,toplamVaka,toplamVefat,hastalardaZaturreOrani,agirHasta,toplamIyilesenHasta,bugunkuVaka,bugunkuHasta,bugunkuTest,bugunkuVefat,bugunkuIyilesen
2020-03-11,,1,,,,,1,,,,
2020-03-12,,1,,,,,,,,,
2020-03-13,,5,,,,,4,,,,
2020-03-14,,6,,,,,1,,,,
2020-03-15,,18,,,,,12,,,,
2020-03-16,,47,,,,,29,,,,
2020-03-17,,98,1,,,,51,,,1,
2020-03-18,,191,2,,,,93,,,1,
2020-03-19,,359,4,,,,168,,,2,
2020-03-20,,670,9,,,,311,,,5,
2020-03-21,,947,21,,,,277,,,12,
2020-03-22,,1236,30,,,,289,,,9,
2020-03-23,,1529,37,,,,293,,,7,
2020-03-24,,1872,44,,,,343,,,7,
2020-03-25,,2433,59,,,,561,,,15,
2020-03-26,,3629,75,,,,1196,,,16,
2020-03-27,47823,5698,92,,,42,2069,2069,7533,17,
2020-03-28,55464,7402,108,,,70,1704,1704,7641,16,
2020-03-29,65446,9217,131,,,105,1815,1815,9982,23,
2020-03-30,76981,10827,168,,,162,1610,1610,11535,37,
2020-03-31,92403,13531,214,,,243,2704,2704,15422,46,
2020-04-01,106799,15679,277,,,333,2148,2148,14396,63,
2020-04-02,125556,18135,356,,,415,2456,2456,18757,79,
2020-04-03,141716,20921,425,,,484,2786,2786,16160,69,
2020-04-04,161380,23934,501,,,768,3013,3013,19664,76,302
2020-04-05,181445,27069,574,,,1042,3135,3135,20065,73,256
2020-04-06,202845,30217,649,,,1326,3148,3148,21400,75,284
2020-04-07,222868,34109,725,,,1582,3892,3892,20023,76,256
2020-04-08,247768,38226,812,,,1846,4117,4117,24900,87,264
2020-04-09,276346,42282,908,,,2142,4056,4056,28578,96,296
2020-04-10,307210,47029,1006,,,2423,4747,4747,30864,98,281
2020-04-11,340380,52167,1101,,,2965,5138,5138,33170,95,542
2020-04-12,376100,56956,1198,,,3446,4789,4789,35720,97,481
2020-04-13,410556,61049,1296,,,3957,4093,4093,34456,98,511
2020-04-14,443626,65111,1403,,,4799,4062,4062,33070,107,842
2020-04-15,477716,69392,1518,,,5674,4281,4281,34090,115,875
2020-04-16,518143,74193,1643,,,7089,4801,4801,40427,125,1415
2020-04-17,558413,78546,1769,,,8631,4353,4353,40270,126,1542
